Unnamed: 0,LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
13560,11,40,9,12,22,19,15,105,75.75,43.23,141550.33,1.09,529,0.02,7863.91,3274.42,166,363,48,25,114,Y
13727,0,7,0,0,4,3,1,19,28.87,14.62,6175.54,0.14,83,0.07,343.09,422.26,26,57,16,18,19,N
13905,3,15,1,4,10,8,1,42,58.91,16.11,15290.22,0.32,176,0.06,849.46,949.05,58,118,27,15,43,N
13788,0,1,0,0,1,1,1,3,11.39,4.67,248.04,0.02,16,0.21,13.78,53.15,4,12,3,7,3,N
13751,0,5,0,0,3,2,3,18,24.12,18.56,8310.37,0.15,88,0.05,461.69,447.7,33,55,16,18,18,N
13523,15,33,0,9,17,13,12,76,69.47,40.7,115062.64,0.94,473,0.02,6392.37,2827.25,175,298,43,20,76,N
13737,0,1,0,0,1,1,1,0,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,5,1,5,0,N
13807,1,3,0,0,2,2,1,9,16.47,13.0,2782.69,0.07,48,0.08,154.59,214.05,18,30,9,13,9,N
13897,1,3,0,0,2,2,1,6,25.23,6.5,1066.0,0.05,41,0.15,59.22,164.0,13,28,8,8,6,Y
13921,0,3,0,1,2,2,1,9,18.62,14.88,4118.96,0.09,57,0.07,228.83,276.9,21,36,12,17,9,Y
13501,0,1,0,0,1,1,1,3,12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,4,7,4,6,3,N
13892,0,5,0,0,3,3,1,9,32.94,6.95,1593.02,0.08,53,0.14,88.5,229.06,17,36,11,9,9,N
13505,5,11,0,2,6,5,1,22,35.31,19.55,13490.6,0.23,128,0.05,749.48,690.22,43,85,22,20,22,N
13935,5,8,0,2,5,5,1,23,55.49,8.48,3988.71,0.16,91,0.12,221.59,470.46,30,61,23,13,23,Y
13893,6,40,1,13,21,19,9,66,88.04,36.99,120439.45,1.09,487,0.03,6691.08,3256.33,180,307,73,30,67,N
13490,0,1,0,0,1,1,1,3,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,5,1,5,3,N
13509,1,7,0,0,4,4,1,12,44.33,7.33,2383.85,0.11,70,0.14,132.44,325.07,22,48,15,10,12,N
13784,0,1,0,0,1,1,1,3,9.51,3.0,85.59,0.01,9,0.33,4.75,28.53,3,6,3,6,3,N
13864,0,1,0,0,1,1,1,3,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,3,N
13546,1,4,0,0,3,2,1,19,32.14,12.08,4693.39,0.13,77,0.08,260.74,388.42,29,48,18,15,19,N
13682,6,6,0,1,4,4,1,21,46.32,15.11,10577.6,0.23,129,0.07,587.64,699.99,51,78,27,16,21,N
13883,0,4,1,0,3,2,1,9,16.46,7.2,853.46,0.04,29,0.14,47.41,118.54,6,23,5,12,10,N
13792,3,3,0,5,2,2,1,7,17.22,13.72,3243.25,0.08,53,0.07,180.18,236.35,19,34,9,13,7,N
